Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Trinidad & Tobago,0.121052354,0.128798581,0.137296204,0.141531435,0.145952232,0.160850095,0.162576571,0.224078889,0.222252361,0.214072984,0.172493007,0.193944595,0.201780821,0.203168074,0.179509029,0.172620907,0.182270763,0.214069014,0.208862325,0.205872441,0.212768001,0.221224885,0.208849564,0.229514453,0.225797102,0.250559828,0.249799917,0.264407209,0.278703114,0.295355796,0.320299072,0.362884505,0.362790649,0.368247676,0.409280605,0.427807507,0.461597206,0.50090364,0.561568498,0.617577488,0.662182729,0.773418236,0.797530473,0.785801717,0.779289165,0.841932868,0.826824692,0.813961543,0.829064597,0.824803794,0.800290382,0.710038925,0.753428785,0.713135499,0.695053132,0.60585265,0.614570898
Venezuela,0.689345212,0.695904221,0.733737055,0.791758466,0.800543599,0.808111394,0.821562783,0.868470363,0.993661651,1.027885726,1.069016093,1.168886999,1.302698523,1.331094346,1.467553685,1.642406017,1.703815542,1.737627861,1.731478809,1.765490084,1.813582459,1.948486675,1.946941212,2.02796703,2.045020842,2.172797218,2.187508695,2.367412665,2.342366235,2.542782112,2.618629813,2.551905499,2.69768006,2.861028633,2.863344288,2.945943648,3.060703662,3.096324482,2.893598405,3.142847517,3.239021229,3.417566332,3.610080749,3.542923272,3.534642774,3.406866281,3.491684111,3.654400638,3.685528192,3.538199254,3.489028915,3.03697572,3.06346517,2.518244402,2.089417063,1.925408745,2.031533267
Central America,0.163422029,0.163791549,0.171673446,0.178380134,0.187286072,0.196443656,0.203940212,0.216690399,0.237027016,0.252488875,0.278253067,0.295270091,0.312258799,0.327653849,0.338606741,0.328334239,0.32652367,0.324806083,0.325743354,0.340758565,0.353802391,0.367065222,0.390774925,0.388293755,0.41310369,0.427771064,0.452279237,0.49480473,0.531483407,0.563102432,0.607025898,0.617057456,0.650642526,0.720916443,0.746779715,0.779863422,0.805225126,0.816814705,0.852342422,0.878056587,0.882997414,0.932802973,0.976329459,1.000979991,0.983128061,1.024812054,1.074590344,1.113716183,1.123465903,1.161115608,1.266222965,1.320645415,1.356779597,1.339656179,1.397432732,1.277667642,1.435581184
Other Caribbean,0.789570792,0.817823814,0.851065163,0.869452135,0.891423222,1.021004422,1.057728332,1.128754823,1.217129317,1.210146802,1.177368644,1.200125467,1.258811551,1.292710995,1.333477504,1.497964979,1.515804239,1.323554348,1.275693826,1.350901621,1.270492841,1.252524369,1.302674045,1.316743403,1.367797491,1.351391589,1.319765318,1.250324414,1.250717342,1.308563184,1.311244098,1.360670898,1.439361138,1.492142885,1.452884184,1.648634472,1.680358307,1.716444971,1.734758391,1.744903163,1.747887766,1.786938725,1.736859146,1.672782211,1.577109104,1.54719754,1.581709155,1.559487915,1.524152623,1.502676664,1.543560601,1.60047525,1.560569866,1.607187945,1.659465838,1.46534679,1.651022738
Other South America,0.146942302,0.163286135,0.164935853,0.169920552,0.181115819,0.189172664,0.198151864,0.20251011,0.212446461,0.209717547,0.227345033,0.232703027,0.240797663,0.265992391,0.2751347,0.285569186,0.27441981,0.260566766,0.254163421,0.254013958,0.289702893,0.383444885,0.454210179,0.481776434,0.529408643,0.574401788,0.606925412,0.614769931,0.66631649,0.745820198,0.836337791,0.875676,0.952041269,0.990582318,0.989249171,0.975093979,0.901914847,0.933862757,0.976649682,0.960770675,0.967752689,0.964818166,1.040538381,1.06909861,1.098676568,1.149924501,1.187926127,1.207740474,1.251817905,1.224091587,1.241204521,1.34594862,1.327074617,1.345647816,1.277759619,1.163581074,1.178145214
Total S. & Cent. America,4.89638628,5.176804574,5.375662774,5.698602185,5.947506808,6.340381067,6.673437942,7.193947631,7.913304836,8.338136826,8.455283526,9.021824117,9.572838145,10.07951145,10.74398869,11.23140057,11.22059073,11.32079516,11.41093449,11.92533493,12.28987146,13.01601242,13.51292537,13.96787312,14.21769583,14.26727303,14.68113996,15.35524418,15.95342529,16.94885672,17.68265864,18.39045607,19.37766694,20.08547231,20.21067007,20.70800751,20.58326166,20.88589268,21.19753966,22.22190845,22.89925739,23.90597064,25.00629945,25.55257923,25.25590421,26.63789525,27.71779915,28.46038165,29.1441184,29.37127796,29.28846952,28.89842454,29.16739207,28.86041802,28.68054611,26.65871919,28.45797857
Austria,0.682193806,0.713970251,0.721308576,0.771269656,0.798935384,0.914937225,0.9111029,0.942572746,1.013436469,1.018663768,1.011828899,1.047217325,1.049751697,1.095083406,1.159981825,1.155145712,1.121472425,1.084757899,1.081782638,1.070887012,1.136900149,1.139164597,1.202468495,1.184878111,1.191506685,1.206603871,1.265450041,1.245496193,1.267648924,1.259889985,1.321310763,1.323015276,1.350967145,1.372618817,1.403761086,1.409128533,1.45932962,1.461625026,1.476913518,1.504333282,1.530598512,1.514635045,1.482504253,1.51128273,1.464389886,1.512264861,1.416072966,1.490844818,1.480687608,1.421382683,1.423025076,1.470672748,1.503462893,1.46817992,1.541586865,1.441154375,1.482714071
Belgium,1.486588374,1.432292313,1.503557575,1.675501153,1.838789436,1.942527777,1.905603767,2.025838394,2.053173451,1.982817335,1.864869231,1.978485556,1.982168755,2.068971428,2.128762544,2.037982918,1.937869802,1.853568025,1.79628946,1.877316521,1.959725749,2.022205887,2.083246621,2.124734299,2.140453697,2.236869521,2.314367227,2.309433493,2.272258454,2.390068921,2.419631349,2.569973248,2.596542806,2.64739134,2.628507567,2.676054476,2.652691472,2.640508118,2.742087693,2.752631813,2.722024195,2.729667984,2.748488531,2.792642413,2.611703341,2.783665443,2.601456592,2.494269327,2.563202477,2.382676395,2.415307796,2.604336152,2.633579966,2.613477695,2.697461262,2.435984696,2.72612517
Bulgaria,0.431732361,0.462835518,0.537626258,0.600975357,0.669843746,0.75369047,0.784789197,0.807545767,0.839064937,0.864110014,0.955126025,1.011613904,1.0660556,1.103839689,1.14571344,1.209571061,1.19172364,1.220852764,1.229139553,1.222015517,1.212763172,1.237083878,1.246660819,1.275726729,1.264636944,1.167972497,0.944195241,0.886455463,0.943842352,0.908726874,0.977976854,0.974075153,0.923341026,0.885956345,0.774001819,0.782841062,0.808985335,0.789927363,0.819336413,0.793313005,0.858595129,0.875058626,0.847000588,0.833328306,0.729273305,0.760057081,0.807562424,0.766956719,0.710411489,0.758715448,0.806709288,0.7640383,0.780837387,0.783447073,0.756453277,0.697865709,0.783416482
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361631286,0.305313919,0.289883441,0.302423782,0.305508916,0.316214893,0.3392824,0.336098504,0.355393237,0.367529489,0.347580412,0.365463771,0.365835405,0.382752664,0.397951997,0.393430826,0.388619295,0.39044052,0.388322094,0.383420705,0.389746741,0.340032334,0.315341534,0.345855048,0.345643512,0.3276791,0.341035872,0.341220247,0.353377575,0.344927492,0.328962486,0.357841
Cyprus,0.016848902,0.019219077,0.020834117,0.023138106,0.027323257,0.028817385,0.034374652,0.038653286,0.041469013,0.036767103,0.030708828,0.031223014,0.035269141,0.036160147,0.0366942,0.037003194,0.035482297,0.042529651,0.044750447,0.04540496,0.048835367,0.050916378,0.062210971,0.064242021,0.065923317,0.069388329,0.070243764,0.082068048,0.08528464,0.085436497,0.090830423,0.092177344,0.093065842,0.09880778,0.103970444,0.108939979,0.11019475,0.108669371,0.115517882,0.112422109,0.12597403,0.123882954,0.125951769,0.129079042,0.126012833,0.122601723,0.121410507,0.113777879,0.101802435,0.101859826,0.105064112,0.114252976,0.117344472,0.116863714,0.116976604,0.101812739,0.107275874
Czech Republic,1.687601401,1.700224245,1.673784589,1.745611864,1.819918811,1.896737456,1.993324113,2.004643498,2.016592568,2.038217292,2.121478501,2.180623206,2.252334642,2.283849363,2.307993736,2.235008627,2.218410953,2.192416401,2.195918965,2.269087651,2.273435407,2.298792072,2.351718392,2.362008874,2.289600189,1.968278538,1.791500652,1.738725869,1.724834887,1.679316211,1.750370236,1.810518988,1.736351698,1.685772415,1.616425065,1.708123988,1.746880377,1.752210848,1.852373807,1.898644141,1.869716609,1.905977183,1.885145252,1.849113134,1.774275416,1.848948954,1.808195274,1.799126351,1.765588641,1.72769675,1.694533992,1.671495862,1.747719934,1.742159767,1.72031551,1.591545175,1.67766756
Denmark,0.598349785,0.680613861,0.684444522,0.715200688,0.820967747,0.874761925,0.826686558,0.872432188,0.844090425,0.767930052,0.756862116,0.833195438,0.850281363,0.862626914,0.860899061,0.838659248,0.753290537,0.719979748,0.684408937,0.69585369,0.784136576,0.801516597,0.772706623,0.764302471,0.704932309,0.727059624,0.838273371,0.785292463,0.832693456,0.893001351,0.877030811,1.043600058,0.946792679,0.913288771,0.885775992,0.851469839,0.853979386,0.852319615,0.918837214,0.86994631,0.840042123,0.924607919,0.877392465,0.844559657,0.79492254,0.837600117,0.791905911,0.73404394,0.766741375,0.742654128,0.71763963,0.724199317,0.728622955,0.717962642,0.704135262,0.627261522,0.671560159
